Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0387987092908609,0.0390369970391742,-5.67710647887378E-08,0,0,0,4.03703382968674,0.00474847813285011,2.5451843630858E-06,-6.99360908648324E-08,0.0159793929849106,4.4736579446005E-10,0.0121401207066325,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/base_link.STL,,rabase.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
j2,-0.0212447962125669,4.82312181396935E-05,-0.105390345923698,0,0,0,0.977314751959421,0.000705624664164402,-1.92139584847809E-07,2.86777147302527E-06,0.000519513395370273,3.14623227227998E-07,0.000679886789996013,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/j2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/j2.STL,,j2.step-3,Origin_j2,Axis_j2,j2,revolute,0,0,0,3.1416,0,1.5708,base_link,0,0,1,50,10,-1.57,1.57,,,,,,,,
j3,0.044980071416487,-5.35948514180058E-05,-0.128060536605172,0,0,0,0.685177148843114,0.00441405518789586,-4.0772924022017E-08,-1.4273703108297E-05,0.00419104754809763,-9.08788530341661E-07,0.000334095696256245,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/j3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/j3.STL,,j3.step-3,Origin_j3,Axis_j3,j3,revolute,0,0,-0.1385,0,0,0,j2,1,0,0,50,10,-1.57,1.57,,,,,,,,
j4,0.0162127600687066,-0.0350755946904497,1.97404980978311E-06,0,0,0,0.233021484761836,7.02674799345136E-05,1.31649924403056E-09,2.82915545204911E-14,6.79387907617448E-05,8.33234450666045E-14,6.50999842227108E-05,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/j4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/j4.STL,,j4.step-3,Origin_j4,Axis_j4,j4,revolute,0,0,-0.322,0,0,0,j3,1,0,0,50,10,-1.57,1.57,,,,,,,,
j5,-0.000843996402465412,0.101806023547875,0.000279122515554786,0,0,0,0.282589558912825,0.000654988616952571,1.93220591934381E-05,-1.31514059496871E-06,0.000177128963073579,8.45323519862778E-07,0.000742965552308006,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/j5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/j5.STL,,j5.step-3,Origin_j5,Axis_j5,j5,revolute,0,0,0,0,0,0,j4,0,1,0,50,10,-1.57,1.57,,,,,,,,
j6,-0.00030632848636733,-0.00933484349547609,-1.08036928580524E-05,0,0,0,0.152159925236746,3.71253243134052E-05,-1.28772096124384E-06,5.11904217059785E-09,4.16737518057278E-05,4.96996654743766E-08,4.20987856135388E-05,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/j6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/j6.STL,,j6.step-4,Origin_j6,Axis_j6,j6,revolute,0,0.23275,0,0,0,0,j5,1,0,0,50,10,-1.57,1.57,,,,,,,,
ef,1.545698860585E-06,0.0568924023324697,-0.000791415492656433,0,0,0,0.107977508673164,6.86612595920387E-05,2.95991972045628E-08,-3.56197454253606E-07,0.0001105363264339,5.63376627819758E-07,0.000105652774356587,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/ef.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://camera_end_effector_v2/meshes/ef.STL,,End effector.step-1,Origin_ef,Axis_ef,ef,revolute,0.001,0.02775,0,0,0,0,j6,0,1,0,50,10,-1.57,1.57,,,,,,,,
